Cut                                 N(Events)    N(Signal)    Efficiency   Purity       N(Study1)    N(Study2)    
All                                 1.36616e+06  79051        N/A          N/A          0            4.718e+05    
Vertex_Not_Fiducial                 9.083e+05    6.265e+04    N/A          N/A          0            3.145e+05    
nProngs                             6.659e+05    5.035e+04    N/A          N/A          0            2.011e+05    
Muon_None                           1.269e+05    8527         100          6.717        0            2.57e+04     
secEndPoint_Michel_Exist            8.985e+04    8070         94.64        8.982        0            1.009e+04    
PreFilter_Pi0                       5.455e+04    7278         85.35        13.34        0            8439         
ConeBlobs                           1.118e+04    2944         34.53        26.34        0            2184         
Photon1DistanceLow                  7987         2476         29.04        31           0            1347         
Photon2DistanceLow                  6193         2140         25.1         34.56        0            942          
Pi0_invMass                         3830         1681         19.71        43.89        0            481          
beamEnergy                          3377         1519         17.81        44.98        0            410          
UnusedE                             3282         1494         17.52        45.52        0            388          


Cut                                 N(Events)    N(Signal)    Efficiency   Purity       N(Study1)    N(Study2)    
All                                 1.366e+06    7.905e+04    N/A          N/A          0            4.718e+05    
Vertex_None                         9.773e+05    6.586e+04    N/A          N/A          0            3.387e+05    
Vertex_Not_Reconstructable          9.357e+05    6.396e+04    N/A          N/A          0            3.247e+05    
Vertex_Not_Fiducial                 9.083e+05    6.265e+04    N/A          N/A          0            3.145e+05    
Vertex_Count                        8.172e+05    5.851e+04    N/A          N/A          0            2.659e+05    
nProngs                             6.659e+05    5.035e+04    N/A          N/A          0            2.011e+05    
Muon_None                           1.269e+05    8527         N/A          N/A          0            2.57e+04     
Muon_Not_Plausible                  1.268e+05    8522         100          6.721        0            2.565e+04    
Muon_Score_Low                      1.268e+05    8522         100          6.721        0            2.565e+04    
Muon_Charge                         1.037e+05    8133         95.44        7.844        0            2.342e+04    
Vertex_Michel_Exist                 8.985e+04    8070         94.7         8.982        0            1.009e+04    
EndPoint_Michel_Exist               8.985e+04    8070         94.7         8.982        0            1.009e+04    
secEndPoint_Michel_Exist            8.985e+04    8070         94.7         8.982        0            1.009e+04    
PreFilter_Pi0                       5.455e+04    7278         85.4         13.34        0            8439         
VtxBlob                             5.455e+04    7278         85.4         13.34        0            8439         
ConeBlobs                           1.118e+04    2944         34.55        26.34        0            2184         
Photon1DistanceLow                  7987         2476         29.05        31           0            1347         
Photon2DistanceLow                  6193         2140         25.11        34.56        0            942          
Pi0_invMass                         3830         1681         19.73        43.89        0            481          
beamEnergy                          3377         1519         17.82        44.98        0            410          
UnusedE                             3282         1494         17.53        45.52        0            388          
